Orden;Empresa;Cotiza;Codact;Ventas;Capital;Recprop;Acttot;Benefico;Inmovil;Cashflow;Rentab;Plantill;Cashvent;Ventinmv;Ventact;Ventplan;Inmoactt;Benvent;Benrecpr;Bencap;Filter_$
1;Telefónica de España;1;16;1271510;463480;1488378;3917167;83899;3568851;425802;6;74437;0,334879002;0,356279934;0,324599385;17,08169324;0,911079614;0,065983752;0,056369417;0,181019677;1
2;El Corte Inglés;0;4;775104;46207;248813;463335;23795;173572;37005;10;40851;0,04774198;4,465605052;1,672880313;18,97392965;0,37461448;0,030699106;0,095634071;0,514965265;1
3;Iberdrola;1;7;775218;437564;1028297;3133889;58778;2911741;164567;6;15086;0,212284802;0,266238652;0,247366132;51,38658359;0,929114273;0,075821253;0,057160529;0,134330064;1
4;Repsol Comercial (c);0;18;700963;3247;4869;150236;1531;61898;1990;31;455;0,002838952;11,32448544;4,665745893;1540,578022;0,412005112;0,002184138;0,314438283;0,471512165;1
5;Seat;0;2;674063;84000;91056;472004;-12756;381012;7934;-14;24268;0,011770413;1,769138505;1,428087474;27,77579529;0,807221973;-0,018924047;-0,140089615;-0,151857143;1
6;Tabacalera;1;18;631003;18442;84646;220062;14729;101784;21725;17;8174;0,034429313;6,199432131;2,867387373;77,19635429;0,462524198;0,023342203;0,174007041;0,798666088;1
7;FASA Renault;1;2;537744;22781;129448;245723;9059;95735;30795;7;14881;0,057267027;5,617005275;2,188415411;36,13628116;0,389605369;0,016846306;0,069981769;0,397655941;1
8;Repsol Petróleo;0;14;489155;36154;101465;332985;12541;194837;26196;12;4362;0,053553577;2,510585772;1,469000105;112,1400734;0,585122453;0,02563809;0,123599271;0,346877247;1
9;Pryca;1;4;448465;18925;94010;258782;13495;130790;22804;14;13200;0,050849007;3,428893646;1,732983747;33,97462121;0,505406095;0,030091534;0,143548559;0,713077939;1
10;Iberia;0;17;445853;213281;138922;544617;-34824;424760;-8757;-25;25617;-0,019641003;1,049658631;0,81865421;17,40457509;0,77992424;-0,078106461;-0,25067304;-0,163277554;0
11;Endesa;1;7;430878;208004;503065;1114274;95118;1015846;164761;19;6100;0,382384341;0,424156811;0,38668945;70,6357377;0,911666251;0,220753902;0,189076958;0,457289283;1
12;Ford España;0;2;427333;21070;126718;228674;10700;46909;27250;8;9545;0,0637676;9,10982967;1,868743276;44,77035097;0,205134821;0,025039021;0,084439464;0,507831039;1
13;CLH;1;14;425909;14012;87373;296022;34329;113939;44955;39;3678;0,105550716;3,738044041;1,438774821;115,7990756;0,384900447;0,080601725;0,392901697;2,449971453;1
14;General Motors España;0;2;414472;41547;95963;216214;21201;77787;36055;22;9200;0,086990195;5,328293931;1,916952649;45,05130435;0,359768563;0,051151827;0,2209289;0,510289552;1
15;Cepsa;1;14;371566;44596;143544;320857;11248;194183;17686;8;2486;0,047598542;1,913483673;1,158042368;149,463395;0,605201071;0,030271876;0,078359249;0,25221993;1
16;Unión Fenosa;1;7;341596;145069;309904;1116935;13420;970791;66167;4;5355;0,193699575;0,351873884;0,305833374;63,79010271;0,869156218;0,039286174;0,043303733;0,092507703;1
17;Continente;0;4;304852;8574;28179;145642;5670;73005;11106;20;9556;0,036430793;4,175768783;2,09315994;31,90163248;0,501263372;0,018599189;0,20121367;0,66130161;1
18;FCC;1;5;299375;7506;45339;297389;11351;71137;16674;25;22103;0,055696033;4,208428806;1,006678122;13,54454146;0,239205216;0,037915658;0,250358411;1,512256861;1
19;Dragados y Construcciones;1;5;291305;29724;100864;254492;10325;48424;13073;10;13215;0,044877362;6,015715348;1,144652877;22,04351116;0,190277101;0,03544395;0,102365562;0,347362401;1
20;Citroën Hispania;1;2;288109;5344;76759;132017;5687;40226;14664;7;8267;0,050897403;7,162258241;2,182362878;34,8504899;0,304703182;0,019739057;0,074089032;1,064184132;1
21;Sevillana de Electricidad;1;7;258331;148201;298108;792174;12772;709445;40021;4;6102;0,154921399;0,364131117;0,326103861;42,33546378;0,895567136;0,049440447;0,042843533;0,086180255;1
22;Cepsa Estaciones de Servicio;0;4;242303;14012;43450;78374;207;38580;1486;0;3100;0,006132817;6,280533955;3,091624774;78,16225806;0,492255085;0,000854302;0,004764097;0,014773052;1
23;IBM;0;8;234929;19500;30757;159328;523;47070;12636;2;4479;0,053786463;4,991055874;1,474499146;52,45121679;0,295428299;0,002226205;0,017004259;0,026820513;1
24;Fecsa;1;7;206811;208593;273371;762166;15247;693523;47212;6;3321;0,228285729;0,29820352;0,2713464;62,27371274;0,909936943;0,073724318;0,055774021;0,073094495;1
25;Cubiertas y MZOV;1;5;206259;4971;40655;164872;4757;27089;7359;12;7056;0,035678443;7,614123814;1,251025038;29,23171769;0,164303217;0,023063236;0,117008978;0,956950312;1
26;Peugeot Talbot;0;2;200380;10500;16878;64514;-3194;22002;-448;-19;5331;-0,002235752;9,107353877;3,105992498;37,58769462;0,341042254;-0,015939715;-0,189240431;-0,304190476;0
27;Renfe;0;17;179944;;546217;1678276;-298976;1508564;-237938;-55;47903;-1,322289157;0,119281648;0,107219551;3,756424441;0,898877181;-1,661494687;-0,547357552;;0
28;Nissan Motor Ibérica;1;2;173067;55766;54844;198097;-14389;146813;-5788;-26;7203;-0,033443695;1,178826126;0,873647758;24,02707205;0,741116726;-0,083141211;-0,262362337;-0,258024603;0
29;Hipercor;0;4;166909;;39921;76011;4954;61357;10775;12;6500;0,064556135;2,720292713;2,195853232;25,67830769;0,807212114;0,029680844;0,124095088;;1
30;Ensidesa;0;11;158106;125145;33663;339125;-67644;234579;-53188;-201;14390;-0,33640722;0,673998951;0,466217471;10,98721334;0,691718393;-0,427839551;-2,009446573;-0,540524991;0
31;INI;0;18;155782;170984;-15774;982027;-188545;836825;-188545;1195;;-1,21031313;0,186158396;0,158633113;;0,852140522;-1,21031313;11,95289717;-1,102705516;0
32;Repsol Butano;0;14;151688;9772;16601;81701;6603;50300;11170;40;2016;0,073637994;3,015666004;1,856623542;75,24206349;0,615659539;0,043530141;0,397747124;0,675706099;1
33;Mercadona;0;4;148822;2638;5881;58299;1850;40342;6753;31;10021;0,045376356;3,689008973;2,552736754;14,85101287;0,691984425;0,012430958;0,314572352;0,701288855;1
34;Neumáticos Michelin;0;2;147634;46692;31700;139679;841;60862;5716;3;11125;0,038717369;2,425717196;1,056952011;13,27047191;0,435727633;0,00569652;0,026529968;0,018011651;1
35;Petronor;0;14;132294;20020;50179;92498;8369;69612;13577;17;887;0,102627481;1,900448199;1,430236329;149,1476888;0,752578434;0,063260617;0,166782917;0,418031968;1
